security_isin,security_name,industry,fund_count,total_percentage_nav
INE040A01034,HDFC Bank Ltd.£,Banks,13,26.567309323444498
INE238A01034,Axis Bank Ltd.,Banks,13,16.8844817959047
INE062A01020,State Bank of India,Banks,13,14.7368678302616
INE090A01021,ICICI Bank Ltd.,Banks,12,31.9265078925519
INE002A01018,Reliance Industries Ltd.,Petroleum Products,12,17.9148893392548
INE237A01036,Kotak Mahindra Bank Limited,Banks,12,11.8528091129016
INE009A01021,Infosys Limited,IT - Software,12,8.298236214776
INE018A01030,Larsen and Toubro Ltd.,Construction,11,12.47733825985
INE585B01010,Maruti Suzuki India Limited,Automobiles,11,8.9312227485743
INE397D01024,Bharti Airtel Ltd.,Telecom - Services,10,13.1523417168415
INE758T01015,Eternal Limited,Retailing,10,8.6623377870604
INE860A01027,HCL Technologies Ltd.,IT - Software,10,6.8822653604015
INE059A01026,Cipla Ltd.,Pharmaceuticals & Biotechnology,10,4.1075821627752
INE081A01020,Tata Steel Ltd.,Ferrous Metals,10,3.859424679244
INE646L01027,InterGlobe Aviation Ltd.,Transport Services,9,7.1551091623895
INE154A01025,ITC LIMITED,Diversified FMCG,9,4.4905724598261
INE044A01036,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals & Biotechnology,9,3.5034795224531
INE854D01024,United Spirits Limited,Beverages,9,2.1324590582128002
INE669C01036,Tech Mahindra Ltd.,IT - Software,9,1.1639957531451
INE467B01029,Tata Consultancy Services Ltd.,IT - Software,8,5.8606543193137
INE733E01010,NTPC Limited,Power,8,4.566475605295199
INE101A01026,Mahindra & Mahindra Ltd.,Automobiles,8,3.6286714846202
INE481G01011,UltraTech Cement Limited,Cement & Cement Products,8,2.5959064777753
INE263A01024,Bharat Electronics Ltd.,Aerospace & Defense,8,1.9797191889342
INE030A01027,Hindustan Unilever Ltd.,Diversified FMCG,8,1.9327916429409
INE795G01014,HDFC Life Insurance Company Limited,Insurance,8,1.8523802602727
INE213A01029,Oil & Natural Gas Corporation Ltd.,Oil,8,1.3697483441587
INE066A01021,Eicher Motors Ltd.,Automobiles,7,5.1382318621913
INE752E01010,Power Grid Corporation of India Ltd.,Power,7,4.8193080282229
INE123W01016,SBI Life Insurance Company Ltd.,Insurance,7,4.7965508931555
INE917I01010,Bajaj Auto Limited,Automobiles,7,3.1607000000000003
INE326A01037,Lupin Ltd.,Pharmaceuticals & Biotechnology,7,2.8104856938136
INE296A01032,Bajaj Finance Ltd.,Finance,7,2.6261800412698997
INE089A01031,Dr Reddys Laboratories Ltd.,Pharmaceuticals & Biotechnology,7,0.7680308738998001
INE066F01020,Hindustan Aeronautics Limited,Aerospace & Defense,7,0.4885891659711
INE00H001014,Swiggy Limited,Retailing,7,0.4135190148126
INE361B01024,Divis Laboratories Ltd.,Pharmaceuticals & Biotechnology,6,3.4589035285885004
INE019A01038,JSW Steel Ltd.,Ferrous Metals,6,2.5607539300463
INE522F01014,Coal India Ltd.,Consumable Fuels,6,2.4837000000000002
INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare Services,6,2.4680827140803
INE417T01026,PB Fintech Limited,Financial Technology (Fintech),6,2.2068288602268002
INE041025011,Embassy Office Parks REIT,Realty,6,1.9680321506199
INE280A01028,Titan Company Ltd.,Consumer Durables,6,1.9356836412728
INE721A01047,Shriram Finance Ltd.,Finance,6,1.5650936032515999
INE0J1Y01017,Life Insurance Corporation of India,Insurance,6,1.5050547464447
INE918I01026,Bajaj Finserv Ltd.,Finance,6,1.4479773611576001
INE038A01020,Hindalco Industries Ltd.,Non - Ferrous Metals,6,1.3385651218086
INE021A01026,Asian Paints Limited,Consumer Durables,6,1.2676500436458
INE047A01021,Grasim Industries Ltd.,Cement & Cement Products,6,1.1526472029891999
INE849A01020,Trent Ltd.,Retailing,6,1.1135383458953
INE742F01042,Adani Ports & Special Economic Zone,Transport Infrastructure,6,1.1087145830223
